timestamp,src_ip,dst_ip,src_port,dst_port,protocol,prediction,confidence,alert_level
2025-04-21 21:59:02,192.168.36.175,52.182.143.215,55430,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:59:03,52.182.143.215,192.168.36.175,443,55428,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:59:04,52.182.143.215,192.168.36.175,443,55430,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:59:05,192.168.36.175,52.13.210.106,55435,443,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:59:07,192.168.36.175,52.13.210.106,55436,443,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:59:08,52.13.210.106,192.168.36.175,443,55435,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:59:09,52.13.210.106,192.168.36.175,443,55436,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:59:10,192.168.36.175,35.201.127.49,54828,443,UDP,NORMAL,1.0000,HIGH
2025-04-21 21:59:11,35.201.127.49,192.168.36.175,443,54828,UDP,NORMAL,0.9992,HIGH
2025-04-21 21:59:15,192.168.36.175,52.84.12.43,55288,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:59:16,52.84.12.43,192.168.36.175,443,55288,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:59:17,192.168.36.175,35.174.127.31,54018,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:59:18,35.174.127.31,192.168.36.175,443,54018,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:59:19,192.168.36.175,108.158.251.60,55376,443,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:59:20,192.168.36.175,18.67.156.207,55377,443,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:59:22,18.67.156.207,192.168.36.175,443,55377,TCP,NORMAL,0.9993,HIGH
2025-04-21 21:59:23,108.158.251.60,192.168.36.175,443,55376,TCP,NORMAL,0.9993,HIGH
2025-04-21 21:59:24,192.168.36.175,34.237.108.126,55381,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:59:25,34.237.108.126,192.168.36.175,443,55381,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:59:26,192.168.36.175,35.201.127.49,55417,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:59:27,35.201.127.49,192.168.36.175,443,55417,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:59:28,192.168.36.175,172.67.73.98,55292,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:59:30,172.67.73.98,192.168.36.175,443,55292,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:59:31,192.168.36.175,185.199.111.154,55281,443,TCP,NORMAL,0.9996,HIGH
2025-04-21 21:59:32,185.199.111.154,192.168.36.175,443,55281,TCP,NORMAL,0.9993,HIGH
2025-04-21 21:59:33,192.168.36.175,185.199.111.154,55286,443,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:59:34,185.199.111.154,192.168.36.175,443,55286,TCP,NORMAL,0.9993,HIGH
2025-04-21 21:59:36,192.168.36.175,52.182.143.215,55430,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:59:37,52.182.143.215,192.168.36.175,443,55430,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:59:38,192.168.36.175,35.201.127.49,61055,443,UDP,NORMAL,1.0000,HIGH
2025-04-21 21:59:39,35.201.127.49,192.168.36.175,443,61055,UDP,NORMAL,0.9993,HIGH
2025-04-21 21:59:40,192.168.36.175,35.201.127.49,55451,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:59:42,35.201.127.49,192.168.36.175,443,55451,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:59:45,192.168.36.175,35.174.127.31,54018,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:59:46,35.174.127.31,192.168.36.175,443,54018,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:59:47,192.168.36.175,34.237.108.126,55381,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:59:48,34.237.108.126,192.168.36.175,443,55381,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:59:49,192.168.36.175,35.201.127.49,55417,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:59:51,35.201.127.49,192.168.36.175,443,55417,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:59:52,192.168.36.175,35.203.65.95,55247,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:59:53,35.203.65.95,192.168.36.175,443,55247,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:59:54,192.168.36.175,224.0.0.251,5353,5353,UDP,NORMAL,0.9993,HIGH
2025-04-21 21:59:55,52.182.143.215,192.168.36.175,443,55430,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:59:56,192.168.36.175,140.82.112.25,55432,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 21:59:58,140.82.112.25,192.168.36.175,443,55432,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:59:59,192.168.36.175,52.13.210.106,55436,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:00,52.13.210.106,192.168.36.175,443,55436,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:01,192.168.36.175,172.64.155.249,55440,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:02,172.64.155.249,192.168.36.175,443,55440,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:03,192.168.36.175,104.18.40.222,55441,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:05,104.18.40.222,192.168.36.175,443,55441,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:06,192.168.36.175,140.82.113.25,55444,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:07,192.168.36.175,104.18.41.33,55445,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:08,104.18.41.33,192.168.36.175,443,55445,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:09,140.82.113.25,192.168.36.175,443,55444,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:10,192.168.36.175,35.201.127.49,55451,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 22:00:12,35.201.127.49,192.168.36.175,443,55451,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:15,192.168.36.175,52.84.12.43,55288,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 22:00:16,52.84.12.43,192.168.36.175,443,55288,TCP,NORMAL,0.9990,HIGH
2025-04-21 22:00:17,192.168.36.175,172.67.73.98,55292,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 22:00:18,172.67.73.98,192.168.36.175,443,55292,TCP,NORMAL,0.9990,HIGH
2025-04-21 22:00:19,192.168.36.175,35.203.65.95,55247,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 22:00:20,35.203.65.95,192.168.36.175,443,55247,TCP,NORMAL,0.9990,HIGH
2025-04-21 22:00:21,192.168.36.175,172.64.155.249,55440,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:22,172.64.155.249,192.168.36.175,443,55440,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:23,192.168.36.175,104.18.40.222,55441,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 22:00:25,104.18.40.222,192.168.36.175,443,55441,TCP,NORMAL,0.9992,HIGH
2025-04-21 22:00:26,192.168.36.175,104.18.41.33,55445,443,TCP,NORMAL,0.9988,HIGH
